 0, 23, 17, 31, 42, 28, 35, 19, 26, 40, 33, 21, 37, 29, 34, 25, 41, 30, 38, 27
23,  0, 14, 36, 25, 33, 20, 41, 28, 22, 39, 31, 18, 35, 27, 40, 24, 32, 29, 34
17, 14,  0, 24, 31, 38, 27, 35, 19, 34, 22, 41, 29, 26, 40, 33, 28, 21, 37, 30
31, 36, 24,  0, 18, 22, 40, 27, 34, 29, 41, 25, 20, 38, 26, 35, 30, 33, 21, 28
42, 25, 31, 18,  0, 19, 28, 34, 41, 23, 27, 40, 33, 21, 35, 26, 29, 38, 24, 30
28, 33, 38, 22, 19,  0, 17, 41, 26, 35, 29, 24, 40, 31, 21, 37, 34, 27, 30, 25
35, 20, 27, 40, 28, 17,  0, 22, 33, 41, 25, 38, 31, 24, 36, 29, 21, 34, 30, 26
19, 41, 35, 27, 34, 41, 22,  0, 18, 26, 37, 29, 25, 40, 31, 24, 38, 33, 21, 30
26, 28, 19, 34, 41, 26, 33, 18,  0, 22, 31, 40, 27, 35, 24, 38, 29, 21, 36, 30
40, 22, 34, 29, 23, 35, 41, 26, 22,  0, 18, 27, 39, 31, 25, 33, 30, 36, 21, 28
33, 39, 22, 41, 27, 29, 25, 37, 31, 18,  0, 24, 35, 26, 40, 21, 34, 28, 30, 23
21, 31, 41, 25, 40, 24, 38, 29, 40, 27, 24,  0, 19, 34, 22, 36, 28, 30, 35, 26
37, 18, 29, 20, 33, 40, 31, 25, 27, 39, 35, 19,  0, 23, 28, 34, 26, 41, 30, 21
29, 35, 26, 38, 21, 31, 24, 40, 35, 31, 26, 34, 23,  0, 18, 27, 33, 22, 41, 30
34, 27, 40, 26, 35, 21, 36, 31, 24, 25, 40, 22, 28, 18,  0, 29, 37, 34, 21, 30
25, 40, 33, 35, 26, 37, 29, 24, 38, 33, 21, 36, 34, 27, 29,  0, 18, 41, 30, 22
41, 24, 28, 30, 29, 34, 21, 38, 29, 30, 34, 28, 26, 33, 37, 18,  0, 23, 35, 40
30, 32, 21, 33, 38, 27, 34, 33, 21, 36, 28, 30, 41, 22, 34, 41, 23,  0, 18, 26
38, 29, 37, 21, 24, 30, 30, 21, 36, 21, 30, 35, 30, 41, 21, 30, 35, 18,  0, 27
27, 34, 30, 28, 30, 25, 26, 30, 30, 28, 23, 26, 21, 30, 30, 22, 40, 26, 27,  0
