0, 43, 73, 32, 29, 37, 94, 50, 50, 59, 58, 72, 25, 71, 57, 52, 10, 15, 48, 47, 43, 29, 65, 85, 58, 95, 50, 92, 55, 51, 52, 53, 64, 23, 64
43, 0, 69, 70, 60, 78, 70, 20, 21, 37, 15, 68, 18, 66, 77, 77, 34, 46, 10, 53, 51, 41, 24, 52, 67, 68, 75, 63, 77, 18, 78, 63, 26, 21, 75
73, 69, 0, 70, 56, 83, 41, 50, 89, 35, 73, 1, 62, 3, 40, 48, 73, 59, 62, 26, 30, 43, 65, 54, 22, 46, 48, 49, 43, 86, 50, 25, 59, 63, 25
32, 70, 70, 0, 14, 14, 103, 70, 81, 72, 84, 70, 51, 70, 38, 29, 41, 24, 72, 45, 42, 36, 88, 101, 49, 105, 28, 104, 35, 81, 28, 45, 85, 49, 51
29, 60, 56, 14, 0, 28, 88, 57, 74, 58, 74, 56, 42, 56, 30, 23, 37, 16, 61, 31, 27, 23, 76, 87, 36, 91, 21, 90, 27, 74, 23, 31, 73, 40, 39
37, 78, 83, 14, 28, 0, 116, 81, 87, 85, 93, 84, 60, 84, 51, 41, 47, 34, 82, 59, 55, 49, 98, 113, 63, 119, 40, 117, 47, 87, 40, 59, 96, 57, 64
94, 70, 41, 103, 88, 116, 0, 50, 88, 36, 65, 40, 74, 39, 80, 87, 91, 85, 60, 58, 61, 68, 52, 25, 61, 6, 86, 12, 83, 84, 89, 62, 47, 76, 66
50, 20, 50, 70, 57, 81, 50, 0, 40, 17, 23, 50, 25, 48, 67, 69, 44, 47, 11, 40, 40, 35, 19, 35, 53, 49, 67, 45, 68, 37, 70, 50, 15, 28, 61
50, 21, 89, 81, 74, 87, 88, 40, 0, 57, 24, 89, 33, 87, 95, 94, 40, 59, 29, 73, 70, 58, 37, 67, 86, 86, 91, 80, 95, 4, 94, 82, 41, 34, 95
59, 37, 35, 72, 58, 85, 36, 17, 57, 0, 38, 34, 38, 32, 60, 65, 55, 52, 28, 33, 35, 36, 30, 29, 43, 36, 63, 33, 62, 54, 66, 41, 24, 40, 51
58, 15, 73, 84, 74, 93, 65, 23, 24, 38, 0, 72, 33, 70, 88, 89, 49, 60, 13, 62, 61, 53, 13, 43, 75, 62, 87, 56, 89, 20, 90, 72, 18, 36, 84
72, 68, 1, 70, 56, 84, 40, 50, 89, 34, 72, 0, 61, 2, 40, 49, 73, 59, 61, 26, 30, 43, 64, 53, 22, 45, 49, 48, 44, 86, 50, 25, 58, 62, 26
25, 18, 62, 51, 42, 60, 74, 25, 33, 38, 33, 61, 0, 60, 62, 60, 18, 27, 23, 41, 38, 25, 39, 61, 54, 74, 58, 70, 61, 32, 61, 50, 38, 3, 62
71, 66, 3, 70, 56, 84, 39, 48, 87, 32, 70, 2, 60, 0, 41, 50, 72, 58, 59, 25, 29, 42, 62, 51, 23, 44, 49, 46, 45, 84, 51, 26, 56, 61, 27
